Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1152,1664,1757,4.8,5.2
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),134,1696,1746,5.0,5.1
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),887,1725,1819,5.0,5.3
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),254,1637,1710,5.0,5.3
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),499,1779,1894,5.0,5.4
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1668,1750,1821,6.4,6.6
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),270,1828,1937,6.3,6.5
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1348,1798,1868,6.7,6.9
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),459,1955,2013,7.6,7.9
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),619,1665,1726,6.1,6.2
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),52,2833,2828,22.9,22.6
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),13,2429,2428,15.4,14.8
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),44,2878,2871,23.2,22.9
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),13,3280,3280,31.4,31.4
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),18,2935,2935,23.5,23.5
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),34,2965,2985,24.7,24.4
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),7,3337,3407,17.5,16.4
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),29,3161,3181,25.7,25.3
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),7,2820,2820,32.2,32.2
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),15,3232,3232,26.4,26.4
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),100,2706,2677,21.2,21.0
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),30,1899,1840,14.2,13.7
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),86,2613,2580,20.9,20.7
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),29,3587,3587,30.8,30.8
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),27,2446,2446,18.6,18.6
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4596,2414,2454,12.4,12.5
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),1278,2669,2690,16.6,16.6
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),4292,2445,2482,12.8,12.8
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),1779,2496,2534,13.0,13.1
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),1235,2117,2175,8.1,8.4
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),3670,2396,2440,12.4,12.5
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),1047,2738,2752,17.4,17.3
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),3404,2431,2471,12.9,12.9
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1274,2433,2477,13.0,13.0
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1084,2106,2173,8.0,8.2
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),7088,2437,2472,12.5,12.6
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),1900,2567,2598,15.5,15.5
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6681,2464,2498,12.6,12.7
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),3140,2564,2596,13.0,13.1
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),1641,2136,2178,8.4,8.6
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2078,1849,1948,5.7,5.9
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),400,1855,1969,6.0,6.2
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1814,1857,1946,5.8,5.9
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),624,1843,1942,5.9,6.0
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),790,1869,1937,5.5,5.7
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1824,1847,1945,5.5,5.7
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),297,1880,1963,5.9,6.1
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1575,1859,1943,5.6,5.8
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),492,1820,1926,5.8,6.0
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),785,1875,1946,5.5,5.6
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2763,1851,1954,5.9,6.1
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),676,1826,1977,6.2,6.3
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2456,1854,1952,6.0,6.1
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),980,1875,1964,6.0,6.0
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),801,1854,1915,5.7,5.9
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1330,1756,1840,5.4,5.7
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),234,1821,1930,6.5,6.7
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1133,1760,1837,5.4,5.6
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),338,1753,1840,5.5,5.9
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),561,1740,1796,4.9,5.0
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1195,1712,1798,4.9,5.1
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),180,1725,1847,5.7,6.1
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1007,1729,1815,4.9,5.2
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),276,1734,1840,5.3,5.8
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),551,1729,1791,4.5,4.7
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1696,1840,1919,6.4,6.6
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),380,1942,2034,7.5,7.6
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1472,1817,1877,6.2,6.4
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),504,1782,1840,5.9,6.1
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),587,1768,1809,5.7,5.9
