Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),807,0.146,0.144,0.139,0.198,0.143,0.091,0.055,0.047,0.037,0.092,0.254,0.300,0.230,0.124,0.775,0.079,0.009,0.085,0.001,0.022,0.029,0.054,0.353,0.647,0.167,0.264
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6128,0.157,0.147,0.140,0.198,0.141,0.088,0.049,0.044,0.036,0.099,0.262,0.305,0.220,0.114,0.763,0.086,0.009,0.083,0.001,0.027,0.031,0.065,0.352,0.648,0.170,0.263
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),2860,0.154,0.146,0.139,0.201,0.142,0.091,0.049,0.043,0.035,0.095,0.268,0.309,0.218,0.110,0.793,0.074,0.009,0.069,0.001,0.024,0.030,0.061,0.350,0.650,0.168,0.261
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),2461,0.165,0.149,0.142,0.194,0.138,0.084,0.047,0.045,0.036,0.107,0.257,0.302,0.219,0.115,0.726,0.102,0.009,0.098,0.001,0.031,0.033,0.072,0.353,0.647,0.174,0.265
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1949,0.132,0.127,0.127,0.196,0.147,0.103,0.061,0.058,0.049,0.073,0.204,0.278,0.292,0.153,0.793,0.078,0.013,0.043,0.000,0.039,0.034,0.079,0.306,0.694,0.152,0.218
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),327,0.116,0.119,0.125,0.198,0.149,0.111,0.064,0.063,0.055,0.065,0.202,0.285,0.299,0.149,0.825,0.061,0.012,0.038,0.000,0.032,0.032,0.070,0.307,0.693,0.149,0.220
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1568,0.131,0.127,0.126,0.196,0.147,0.103,0.061,0.059,0.050,0.072,0.203,0.280,0.291,0.154,0.799,0.076,0.012,0.042,0.000,0.038,0.033,0.077,0.306,0.694,0.151,0.219
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),516,0.127,0.124,0.124,0.190,0.148,0.108,0.063,0.061,0.055,0.069,0.201,0.280,0.290,0.160,0.810,0.069,0.011,0.043,0.000,0.035,0.032,0.073,0.314,0.686,0.151,0.227
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),725,0.141,0.132,0.127,0.201,0.144,0.096,0.058,0.056,0.045,0.078,0.206,0.278,0.285,0.153,0.780,0.087,0.013,0.044,0.000,0.042,0.034,0.084,0.300,0.700,0.152,0.212
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1732,0.130,0.126,0.127,0.199,0.147,0.104,0.060,0.059,0.048,0.072,0.204,0.277,0.294,0.153,0.792,0.078,0.013,0.043,0.000,0.039,0.035,0.080,0.307,0.693,0.154,0.219
