Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),1900,2567,2598,15.5,15.5,19,18,1.790,0.049,0.131,0.177,0.191,0.155,0.102,0.066,0.036,0.023,0.020,0.010,0.009,0.011,0.003,0.005,0.012,0.052,0.101,0.190,0.161,0.263,0.131,0.037,0.013,0.009,0.007,0.009,0.009,0.009,0.009,0.311,0.301,0.215,0.107,0.050,0.015,0.001,0.000,0.000,0.000,0.855,0.082,0.026,0.012,0.007,0.018
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6681,2464,2498,12.6,12.7,16,16,1.906,0.047,0.150,0.195,0.179,0.142,0.104,0.060,0.042,0.023,0.018,0.009,0.007,0.007,0.003,0.004,0.010,0.069,0.110,0.224,0.182,0.233,0.105,0.031,0.012,0.007,0.004,0.005,0.006,0.004,0.008,0.385,0.313,0.182,0.080,0.028,0.010,0.001,0.001,0.000,0.000,0.815,0.112,0.031,0.014,0.008,0.020
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),3140,2564,2596,13.0,13.1,16,16,1.958,0.039,0.129,0.202,0.169,0.148,0.114,0.065,0.049,0.026,0.019,0.009,0.008,0.006,0.004,0.004,0.009,0.069,0.104,0.212,0.190,0.235,0.107,0.034,0.015,0.008,0.004,0.004,0.006,0.003,0.009,0.393,0.313,0.179,0.078,0.024,0.011,0.001,0.001,0.000,0.000,0.800,0.122,0.032,0.015,0.008,0.023
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),1641,2136,2178,8.4,8.6,13,13,1.943,0.060,0.216,0.207,0.184,0.116,0.087,0.042,0.034,0.016,0.011,0.006,0.004,0.005,0.002,0.002,0.008,0.091,0.131,0.287,0.192,0.196,0.071,0.018,0.005,0.003,0.001,0.001,0.001,0.000,0.003,0.459,0.327,0.149,0.049,0.011,0.004,0.001,0.000,0.000,0.000,0.792,0.128,0.034,0.017,0.010,0.019
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2078,1849,1948,5.7,5.9,11,11,2.175,0.087,0.240,0.252,0.163,0.096,0.062,0.035,0.021,0.017,0.008,0.005,0.003,0.005,0.001,0.001,0.004,0.148,0.191,0.313,0.177,0.123,0.031,0.009,0.004,0.001,0.001,0.001,0.000,0.000,0.001,0.588,0.284,0.089,0.031,0.006,0.002,0.000,0.000,0.000,0.000,0.719,0.143,0.055,0.030,0.015,0.038
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),400,1855,1969,6.0,6.2,11,11,2.335,0.089,0.232,0.259,0.148,0.108,0.061,0.039,0.025,0.015,0.004,0.002,0.003,0.005,0.001,0.000,0.009,0.170,0.200,0.297,0.140,0.138,0.036,0.010,0.004,0.001,0.001,0.001,0.000,0.000,0.002,0.617,0.238,0.097,0.039,0.007,0.002,0.000,0.000,0.000,0.000,0.692,0.141,0.055,0.045,0.022,0.045
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1814,1857,1946,5.8,5.9,11,11,2.149,0.085,0.238,0.253,0.161,0.098,0.063,0.037,0.021,0.016,0.009,0.005,0.003,0.005,0.001,0.001,0.004,0.145,0.182,0.315,0.184,0.127,0.031,0.010,0.004,0.000,0.000,0.001,0.000,0.000,0.001,0.577,0.295,0.090,0.031,0.005,0.002,0.000,0.000,0.000,0.000,0.721,0.143,0.054,0.029,0.015,0.038
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),624,1843,1942,5.9,6.0,11,11,2.112,0.086,0.238,0.263,0.151,0.091,0.069,0.038,0.019,0.020,0.008,0.006,0.001,0.005,0.002,0.001,0.002,0.142,0.179,0.304,0.196,0.133,0.030,0.012,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.573,0.288,0.097,0.035,0.006,0.001,0.000,0.000,0.000,0.000,0.724,0.142,0.050,0.029,0.015,0.040
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),790,1869,1937,5.5,5.7,11,11,2.083,0.081,0.240,0.245,0.176,0.098,0.059,0.036,0.021,0.013,0.012,0.005,0.004,0.005,0.001,0.001,0.003,0.134,0.174,0.336,0.196,0.117,0.028,0.008,0.005,0.001,0.000,0.000,0.000,0.000,0.001,0.561,0.330,0.080,0.023,0.003,0.002,0.000,0.000,0.000,0.001,0.734,0.144,0.057,0.019,0.012,0.034
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1824,1847,1945,5.5,5.7,11,11,2.097,0.089,0.243,0.247,0.168,0.094,0.061,0.032,0.023,0.017,0.007,0.004,0.003,0.004,0.001,0.002,0.005,0.139,0.187,0.322,0.187,0.123,0.025,0.011,0.003,0.001,0.001,0.000,0.000,0.000,0.001,0.578,0.299,0.086,0.031,0.005,0.001,0.000,0.000,0.000,0.000,0.729,0.140,0.054,0.029,0.014,0.034
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),297,1880,1963,5.9,6.1,11,11,2.215,0.100,0.226,0.250,0.164,0.100,0.060,0.030,0.030,0.020,0.004,0.000,0.000,0.004,0.002,0.000,0.010,0.160,0.192,0.316,0.148,0.130,0.034,0.012,0.002,0.002,0.002,0.000,0.000,0.000,0.002,0.612,0.242,0.102,0.036,0.008,0.000,0.000,0.000,0.000,0.000,0.714,0.130,0.056,0.046,0.020,0.034
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1575,1859,1943,5.6,5.8,11,11,2.090,0.087,0.239,0.247,0.166,0.096,0.064,0.034,0.024,0.016,0.008,0.004,0.003,0.004,0.001,0.002,0.005,0.135,0.174,0.324,0.196,0.129,0.026,0.011,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.561,0.314,0.089,0.031,0.004,0.001,0.000,0.000,0.000,0.000,0.732,0.139,0.053,0.028,0.014,0.034
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),492,1820,1926,5.8,6.0,12,11,2.085,0.084,0.257,0.252,0.144,0.095,0.068,0.035,0.023,0.018,0.007,0.005,0.001,0.004,0.001,0.002,0.004,0.127,0.171,0.312,0.210,0.139,0.024,0.014,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.536,0.327,0.090,0.041,0.006,0.000,0.000,0.000,0.000,0.000,0.727,0.146,0.046,0.027,0.014,0.040
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),785,1875,1946,5.5,5.6,11,10,2.045,0.083,0.232,0.245,0.181,0.096,0.063,0.035,0.022,0.012,0.010,0.005,0.005,0.005,0.001,0.002,0.003,0.131,0.168,0.336,0.205,0.122,0.024,0.009,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.557,0.333,0.082,0.024,0.002,0.002,0.000,0.000,0.000,0.000,0.740,0.139,0.057,0.021,0.012,0.031
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2763,1851,1954,5.9,6.1,11,11,2.313,0.083,0.234,0.262,0.154,0.099,0.064,0.041,0.016,0.016,0.009,0.006,0.005,0.006,0.002,0.000,0.003,0.164,0.198,0.298,0.160,0.123,0.041,0.006,0.005,0.001,0.000,0.001,0.001,0.000,0.002,0.606,0.258,0.093,0.030,0.007,0.004,0.001,0.000,0.000,0.001,0.706,0.148,0.056,0.030,0.016,0.044
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),676,1826,1977,6.2,6.3,11,11,2.472,0.076,0.240,0.269,0.129,0.118,0.062,0.048,0.018,0.009,0.005,0.005,0.007,0.007,0.000,0.000,0.007,0.182,0.210,0.273,0.131,0.147,0.039,0.007,0.007,0.000,0.000,0.002,0.000,0.000,0.002,0.622,0.233,0.092,0.041,0.007,0.005,0.000,0.000,0.000,0.000,0.666,0.154,0.053,0.044,0.025,0.058
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2456,1854,1952,6.0,6.1,11,11,2.252,0.081,0.236,0.263,0.152,0.100,0.061,0.043,0.017,0.016,0.010,0.006,0.003,0.007,0.002,0.000,0.003,0.162,0.196,0.302,0.162,0.124,0.039,0.007,0.005,0.000,0.000,0.001,0.001,0.000,0.001,0.604,0.263,0.092,0.030,0.007,0.003,0.000,0.000,0.000,0.001,0.705,0.148,0.055,0.030,0.017,0.045
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),980,1875,1964,6.0,6.0,11,10,2.148,0.089,0.213,0.272,0.162,0.085,0.072,0.041,0.015,0.023,0.008,0.008,0.002,0.007,0.003,0.000,0.000,0.162,0.190,0.293,0.177,0.125,0.038,0.008,0.002,0.000,0.000,0.002,0.003,0.000,0.000,0.623,0.236,0.105,0.028,0.005,0.003,0.000,0.000,0.000,0.000,0.721,0.136,0.056,0.033,0.015,0.039
Personal,Visitors,Trip End,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),801,1854,1915,5.7,5.9,11,11,2.186,0.076,0.264,0.245,0.161,0.103,0.047,0.039,0.019,0.014,0.016,0.004,0.002,0.006,0.002,0.000,0.002,0.142,0.190,0.339,0.171,0.103,0.041,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.002,0.567,0.324,0.074,0.023,0.008,0.002,0.000,0.000,0.000,0.002,0.718,0.159,0.056,0.014,0.012,0.041
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1330,1756,1840,5.4,5.7,12,11,2.302,0.100,0.271,0.238,0.155,0.087,0.053,0.034,0.021,0.015,0.008,0.003,0.005,0.004,0.002,0.001,0.003,0.126,0.190,0.339,0.202,0.095,0.034,0.008,0.002,0.002,0.000,0.001,0.000,0.001,0.000,0.552,0.318,0.093,0.028,0.008,0.001,0.000,0.000,0.000,0.000,0.697,0.152,0.058,0.030,0.018,0.045
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),234,1821,1930,6.5,6.7,14,13,2.321,0.111,0.236,0.234,0.175,0.100,0.043,0.024,0.021,0.021,0.006,0.009,0.006,0.003,0.006,0.000,0.005,0.109,0.197,0.306,0.174,0.137,0.057,0.016,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.513,0.272,0.128,0.070,0.017,0.000,0.000,0.000,0.000,0.000,0.698,0.139,0.066,0.024,0.024,0.049
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1133,1760,1837,5.4,5.6,12,11,2.287,0.096,0.268,0.244,0.159,0.091,0.052,0.032,0.019,0.015,0.007,0.003,0.005,0.003,0.002,0.001,0.003,0.122,0.185,0.341,0.209,0.097,0.033,0.008,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.540,0.328,0.093,0.030,0.008,0.001,0.000,0.000,0.000,0.000,0.699,0.155,0.059,0.028,0.015,0.044
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),338,1753,1840,5.5,5.9,12,11,2.401,0.098,0.256,0.240,0.171,0.097,0.050,0.036,0.018,0.012,0.008,0.001,0.005,0.003,0.001,0.001,0.003,0.129,0.165,0.316,0.237,0.110,0.028,0.006,0.005,0.003,0.000,0.000,0.000,0.001,0.000,0.499,0.366,0.103,0.029,0.002,0.001,0.000,0.000,0.000,0.000,0.698,0.149,0.057,0.036,0.016,0.044
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),561,1740,1796,4.9,5.0,11,10,2.204,0.089,0.290,0.251,0.144,0.083,0.056,0.034,0.018,0.014,0.007,0.002,0.005,0.003,0.001,0.001,0.002,0.124,0.193,0.367,0.207,0.073,0.025,0.007,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.576,0.329,0.073,0.014,0.007,0.001,0.000,0.000,0.000,0.000,0.699,0.165,0.058,0.025,0.011,0.042
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1195,1712,1798,4.9,5.1,11,11,2.300,0.108,0.283,0.237,0.141,0.085,0.053,0.039,0.019,0.014,0.005,0.002,0.006,0.003,0.001,0.001,0.003,0.129,0.195,0.355,0.201,0.083,0.026,0.006,0.002,0.002,0.000,0.000,0.000,0.001,0.000,0.566,0.323,0.084,0.021,0.005,0.001,0.000,0.000,0.000,0.000,0.698,0.155,0.061,0.027,0.016,0.043
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),180,1725,1847,5.7,6.1,13,12,2.238,0.125,0.259,0.221,0.150,0.105,0.040,0.031,0.014,0.023,0.006,0.006,0.008,0.006,0.003,0.000,0.003,0.122,0.215,0.321,0.164,0.113,0.045,0.017,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.528,0.300,0.110,0.051,0.011,0.000,0.000,0.000,0.000,0.000,0.694,0.130,0.082,0.023,0.031,0.040
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1007,1729,1815,4.9,5.2,11,11,2.295,0.101,0.275,0.244,0.147,0.087,0.053,0.037,0.018,0.015,0.006,0.002,0.006,0.003,0.002,0.001,0.003,0.122,0.187,0.358,0.207,0.085,0.029,0.006,0.003,0.002,0.000,0.000,0.000,0.001,0.000,0.552,0.334,0.085,0.023,0.006,0.000,0.000,0.000,0.000,0.000,0.698,0.157,0.062,0.025,0.015,0.043
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),276,1734,1840,5.3,5.8,12,11,2.507,0.106,0.257,0.243,0.165,0.091,0.049,0.042,0.016,0.009,0.004,0.000,0.007,0.002,0.002,0.002,0.005,0.112,0.165,0.337,0.238,0.106,0.026,0.005,0.005,0.004,0.000,0.000,0.000,0.002,0.000,0.498,0.367,0.102,0.031,0.002,0.000,0.000,0.000,0.000,0.000,0.700,0.148,0.057,0.035,0.016,0.044
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),551,1729,1791,4.5,4.7,10,10,2.207,0.092,0.289,0.251,0.137,0.080,0.059,0.037,0.020,0.015,0.006,0.002,0.005,0.003,0.001,0.001,0.002,0.127,0.190,0.382,0.206,0.065,0.025,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.590,0.327,0.068,0.010,0.005,0.000,0.000,0.000,0.000,0.000,0.699,0.170,0.059,0.020,0.009,0.043
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1696,1840,1919,6.4,6.6,13,12,2.305,0.085,0.254,0.240,0.181,0.092,0.052,0.023,0.024,0.015,0.013,0.005,0.004,0.005,0.003,0.001,0.003,0.120,0.182,0.310,0.204,0.116,0.047,0.013,0.003,0.002,0.000,0.002,0.000,0.000,0.001,0.522,0.308,0.111,0.043,0.013,0.002,0.000,0.001,0.000,0.000,0.697,0.147,0.052,0.035,0.021,0.048
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),380,1942,2034,7.5,7.6,15,14,2.425,0.093,0.207,0.250,0.207,0.093,0.046,0.014,0.029,0.018,0.007,0.014,0.004,0.000,0.011,0.000,0.007,0.093,0.175,0.289,0.186,0.168,0.071,0.014,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.496,0.236,0.150,0.093,0.025,0.000,0.000,0.000,0.000,0.000,0.704,0.150,0.046,0.025,0.014,0.061
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1472,1817,1877,6.2,6.4,13,12,2.272,0.087,0.254,0.245,0.180,0.097,0.049,0.024,0.020,0.015,0.010,0.005,0.004,0.004,0.003,0.000,0.003,0.123,0.182,0.302,0.212,0.120,0.040,0.014,0.004,0.002,0.000,0.001,0.000,0.000,0.000,0.515,0.319,0.109,0.043,0.012,0.002,0.000,0.000,0.000,0.000,0.698,0.151,0.054,0.034,0.016,0.047
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),504,1782,1840,5.9,6.1,12,11,2.248,0.088,0.252,0.236,0.180,0.106,0.050,0.027,0.021,0.016,0.013,0.003,0.003,0.005,0.000,0.000,0.000,0.154,0.164,0.281,0.236,0.117,0.032,0.008,0.005,0.003,0.000,0.000,0.000,0.000,0.000,0.501,0.363,0.103,0.027,0.003,0.003,0.000,0.000,0.000,0.000,0.693,0.151,0.058,0.037,0.016,0.045
Personal,Visitors,Trip End,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),587,1768,1809,5.7,5.9,12,11,2.194,0.082,0.289,0.251,0.162,0.091,0.050,0.027,0.014,0.011,0.009,0.002,0.005,0.005,0.000,0.000,0.002,0.116,0.200,0.335,0.207,0.091,0.027,0.018,0.002,0.002,0.000,0.002,0.000,0.000,0.000,0.540,0.335,0.087,0.025,0.011,0.002,0.000,0.000,0.000,0.000,0.702,0.150,0.055,0.036,0.016,0.041
