Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1405,3042,3087,11.4,11.5,14,13,1.800,0.043,0.147,0.161,0.123,0.126,0.095,0.067,0.055,0.044,0.033,0.024,0.020,0.018,0.007,0.010,0.027,0.049,0.115,0.275,0.171,0.209,0.104,0.039,0.017,0.006,0.003,0.004,0.004,0.003,0.001,0.469,0.316,0.134,0.062,0.015,0.003,0.001,0.000,0.000,0.000,0.815,0.120,0.030,0.016,0.006,0.013
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1158,2432,2467,9.0,9.1,13,12,1.896,0.051,0.186,0.207,0.162,0.109,0.084,0.052,0.046,0.033,0.019,0.015,0.014,0.006,0.006,0.004,0.006,0.070,0.138,0.312,0.179,0.189,0.069,0.019,0.009,0.006,0.001,0.002,0.003,0.001,0.002,0.505,0.317,0.119,0.045,0.011,0.003,0.000,0.000,0.000,0.000,0.786,0.136,0.035,0.017,0.007,0.019
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6915,2747,2787,10.1,10.2,13,13,2.012,0.054,0.157,0.183,0.150,0.119,0.084,0.059,0.049,0.036,0.026,0.018,0.018,0.015,0.009,0.006,0.017,0.074,0.125,0.277,0.189,0.200,0.085,0.023,0.009,0.003,0.003,0.003,0.004,0.002,0.003,0.496,0.313,0.119,0.050,0.017,0.004,0.001,0.000,0.000,0.000,0.771,0.141,0.040,0.018,0.009,0.021
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),807,3177,3216,8.6,8.8,11,11,2.351,0.083,0.148,0.150,0.095,0.097,0.084,0.063,0.044,0.049,0.047,0.026,0.030,0.026,0.016,0.012,0.030,0.081,0.151,0.287,0.172,0.179,0.095,0.018,0.009,0.002,0.004,0.000,0.002,0.000,0.000,0.578,0.311,0.072,0.028,0.005,0.004,0.000,0.000,0.002,0.000,0.712,0.163,0.065,0.028,0.009,0.023
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6128,2833,2875,10.2,10.3,13,13,2.029,0.055,0.153,0.175,0.146,0.116,0.085,0.062,0.052,0.038,0.028,0.020,0.019,0.017,0.009,0.006,0.019,0.074,0.127,0.272,0.187,0.201,0.087,0.024,0.009,0.004,0.003,0.003,0.004,0.002,0.003,0.501,0.312,0.116,0.047,0.017,0.005,0.002,0.000,0.000,0.000,0.769,0.142,0.042,0.017,0.008,0.022
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),2860,3126,3177,11.6,11.6,13,13,2.017,0.048,0.134,0.149,0.149,0.107,0.088,0.069,0.058,0.045,0.031,0.027,0.026,0.020,0.012,0.009,0.028,0.074,0.120,0.266,0.174,0.201,0.097,0.030,0.011,0.005,0.002,0.006,0.006,0.003,0.005,0.512,0.299,0.112,0.049,0.019,0.007,0.002,0.000,0.000,0.000,0.757,0.150,0.042,0.015,0.009,0.027
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),2461,2379,2407,9.1,9.3,14,13,1.939,0.055,0.178,0.207,0.159,0.134,0.082,0.053,0.049,0.026,0.018,0.009,0.007,0.011,0.005,0.002,0.005,0.073,0.126,0.275,0.207,0.208,0.072,0.019,0.006,0.003,0.004,0.002,0.002,0.001,0.002,0.465,0.327,0.134,0.050,0.019,0.003,0.002,0.000,0.000,0.000,0.800,0.126,0.035,0.017,0.007,0.015
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1949,1901,1984,5.5,5.7,11,10,2.210,0.090,0.236,0.241,0.156,0.110,0.057,0.038,0.021,0.017,0.008,0.008,0.005,0.003,0.004,0.002,0.004,0.163,0.191,0.304,0.170,0.131,0.028,0.008,0.003,0.001,0.000,0.001,0.000,0.000,0.000,0.620,0.260,0.079,0.031,0.009,0.001,0.000,0.000,0.000,0.000,0.704,0.156,0.063,0.027,0.014,0.036
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),327,1893,1999,5.3,5.5,10,10,2.383,0.090,0.215,0.254,0.164,0.107,0.060,0.039,0.020,0.020,0.004,0.012,0.001,0.005,0.004,0.000,0.005,0.183,0.219,0.281,0.144,0.136,0.022,0.009,0.003,0.001,0.000,0.000,0.000,0.001,0.001,0.662,0.221,0.068,0.030,0.017,0.001,0.000,0.001,0.000,0.000,0.667,0.154,0.072,0.039,0.018,0.050
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1568,1929,2013,5.5,5.7,10,10,2.259,0.092,0.233,0.236,0.154,0.112,0.055,0.041,0.022,0.017,0.009,0.009,0.005,0.004,0.004,0.003,0.004,0.164,0.193,0.305,0.162,0.133,0.028,0.008,0.004,0.001,0.001,0.001,0.000,0.000,0.000,0.629,0.255,0.076,0.030,0.009,0.001,0.000,0.000,0.000,0.000,0.692,0.161,0.063,0.030,0.015,0.039
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),516,1954,2047,5.7,5.9,10,10,2.194,0.091,0.239,0.213,0.165,0.112,0.047,0.046,0.026,0.021,0.008,0.012,0.005,0.005,0.005,0.001,0.004,0.173,0.187,0.294,0.160,0.132,0.034,0.009,0.006,0.002,0.001,0.002,0.000,0.000,0.000,0.626,0.258,0.074,0.033,0.008,0.001,0.000,0.000,0.000,0.000,0.696,0.166,0.060,0.030,0.014,0.034
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),725,1929,1995,5.5,5.6,11,10,2.248,0.093,0.237,0.245,0.141,0.114,0.058,0.038,0.021,0.013,0.013,0.006,0.006,0.002,0.004,0.005,0.004,0.149,0.184,0.323,0.172,0.133,0.026,0.007,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.616,0.269,0.081,0.027,0.006,0.001,0.000,0.000,0.000,0.000,0.704,0.160,0.060,0.024,0.015,0.037
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1732,1879,1963,5.5,5.7,10,10,2.210,0.094,0.238,0.246,0.146,0.110,0.056,0.040,0.018,0.019,0.008,0.008,0.004,0.003,0.004,0.002,0.004,0.157,0.193,0.306,0.176,0.127,0.024,0.009,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.614,0.274,0.075,0.028,0.009,0.000,0.000,0.000,0.000,0.000,0.698,0.162,0.061,0.027,0.016,0.036
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),267,1805,1907,4.9,5.2,10,10,2.364,0.102,0.226,0.268,0.155,0.106,0.040,0.042,0.018,0.018,0.002,0.011,0.002,0.002,0.004,0.000,0.004,0.182,0.217,0.293,0.151,0.129,0.011,0.009,0.004,0.002,0.000,0.000,0.000,0.002,0.000,0.661,0.231,0.062,0.033,0.011,0.000,0.000,0.002,0.000,0.000,0.643,0.162,0.084,0.044,0.020,0.047
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1346,1920,2006,5.5,5.8,10,10,2.274,0.096,0.234,0.241,0.145,0.113,0.054,0.044,0.019,0.019,0.008,0.009,0.004,0.003,0.005,0.002,0.004,0.159,0.190,0.311,0.167,0.130,0.026,0.009,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.621,0.272,0.070,0.028,0.009,0.000,0.000,0.000,0.000,0.000,0.688,0.163,0.062,0.030,0.018,0.039
